Borough,Names,Median Age 2011,Population Density (persons per sq km) 2011,No people in household have English as a main language 2011,All Households 2011,Mean Modelled Household income (£) 2012/13,Economically active: % Unemployed 2011,% No qualifications 2011,Rates children (0-18) living in Out-of-work Benefit Claimant Households 2011,Total crime (numbers) 2011,Total Crime Rate 2011,Drugs Crime Total Number 2011,% People with Bad or Very Bad Health 2011,% area that is greenspace 2012
Barking and Dagenham,Thames,29,1367.1,443,3955,37400,15.2,24.1,29.5,1409,130.5,40,5.6,44.4
Barking and Dagenham,Valence,33,7653.8,270,3806,38080,12.7,32.1,31.5,815,81.9,24,7.6,16.0
Barking and Dagenham,Village,33,5166.7,330,4423,36740,14.6,30.3,33.1,1084,99.9,63,6.1,48.0
Barking and Dagenham,Whalebone,34,6656.3,332,3971,42530,10.4,24.0,22.7,921,86.5,38,4.9,16.4
Barnet,Brunswick Park,39,5140.6,619,6059,53440,7.3,17.4,15.3,914,55.6,30,4.7,28.0
Barnet,Burnt Oak,32,8690.5,1233,6392,39000,11.2,23.6,28.2,1166,63.9,66,6.1,20.2
Barnet,Childs Hill,32,6483.9,1770,7686,52190,8.8,13.7,18.3,2002,99.6,80,5.1,15.1
Barnet,Colindale,31,6596.2,1460,6290,39990,11.8,18.0,27.6,1222,71.3,102,4.7,20.8
Barnet,Coppetts,34,6407.4,942,6948,50910,7.9,15.0,20.0,1333,77.1,53,5.0,40.3
Barnet,East Barnet,38,4263.2,468,6531,53550,7.3,17.1,15.6,950,58.6,41,4.5,34.9
Barnet,East Finchley,35,6420.0,691,6643,55480,6.3,14.1,20.1,1044,65.0,33,4.7,37.8
Barnet,Edgware,35,3000.0,725,5981,51380,7.6,17.0,17.5,1522,90.6,68,4.3,54.0
Barnet,Finchley Church End,37,5833.3,909,6287,61510,5.9,12.3,9.0,800,50.8,28,3.6,13.7
Barnet,Garden Suburb,37,3404.3,686,6279,74940,4.5,8.2,5.4,1256,78.5,14,2.7,24.2
Barnet,Golders Green,30,6300.0,1080,6154,54940,7.8,16.4,12.3,1432,75.8,37,4.4,14.6
Barnet,Hale,35,3240.7,723,6185,51650,7.4,17.8,16.8,951,54.3,35,4.6,48.8
