,ln_median_income,ln_rate_of_drugs_crime,no_english_in_household,median_age,population_density,unemployment_rate,overall_absence,ln_total_crime_rate,people_in_bad_health,green_space
0,11.060683165303136,4.416020144600582,119.27023945267959,39.0,2312.5,4.5,4.3,6.416732282512326,3.4,18.6
1,10.43176008990584,4.430491978506705,256.99912510936133,29.0,9884.6,14.5,5.6,5.207297968160868,4.3,19.6
2,10.388071865096892,3.8527064282717265,79.32510702593805,32.0,7464.3,12.2,5.7,4.515245478460105,6.7,22.4
3,10.404262840448617,3.9241653922538715,105.44774374561608,32.0,8923.1,13.8,5.9,4.593097604753822,7.0,3.0
4,10.43176008990584,3.2742259199513657,65.19533231861999,34.0,2970.6,12.1,6.2,4.578826210648489,6.8,56.4
5,10.529425983402623,4.003271676893291,45.27913558013893,37.0,3014.3,11.0,5.5,4.309455941839047,5.9,51.1
6,10.400315666658265,4.11173630493397,118.91385767790263,32.0,8357.1,12.7,5.5,4.396915247167632,6.4,18.1
7,10.291467346303273,4.520881187433104,186.6523143164693,28.0,11409.1,17.2,5.5,4.805659046737495,5.9,20.3
8,10.411810046084,3.5787070049883707,76.99597251836057,33.0,8730.8,12.3,5.4,4.426043520090656,6.3,17.1
9,10.352650515910012,3.7820694341515075,62.080148251100304,32.0,5425.0,14.3,5.4,4.633757642840004,6.7,38.4
10,10.610784156200493,4.045554398052668,118.81720430107526,32.0,7218.8,9.2,5.7,4.366912996863833,4.6,30.3
11,10.358694752539106,3.819108036349776,82.40081383519838,32.0,5473.7,12.7,5.8,4.384523514872469,7.0,45.8
12,10.36910658346404,3.71370110728775,65.77216521967904,33.0,8250.0,12.7,5.5,4.335982696172475,7.1,17.5
13,10.41900216578825,4.052844831315348,96.24590576971529,32.0,3055.6,12.3,5.5,4.534747721691546,5.5,20.8
14,10.391453882156036,3.3459992211973932,112.01011378002529,29.0,1367.1,15.2,5.0,4.871373226762748,5.6,44.4
15,10.410305154904579,3.38262099608922,70.94062007356806,33.0,7653.8,12.7,6.2,4.405498990859024,7.6,16.0
16,10.37224039988021,4.0624768233740784,74.60999321727334,33.0,5166.7,14.6,5.8,4.604169685654508,6.1,48.0
17,10.523526261275435,3.719881402453216,83.6061445479728,34.0,6656.3,10.4,5.6,4.460144413937834,4.9,16.4
18,10.59162219127253,3.491122089190142,102.16207294933157,39.0,5140.6,7.3,5.0,4.018183201256536,4.7,28.0
19,10.288749953326773,4.036075654098125,192.8973717146433,32.0,8690.5,11.2,6.2,4.157319361383489,6.1,20.2
20,10.57029075775647,3.6878799537808526,230.2888368462139,32.0,6483.9,8.8,5.8,4.601162164590552,5.1,15.1
21,10.314603332153107,4.424483952534867,232.11446740858506,31.0,6596.2,11.8,5.9,4.26689632742025,4.7,20.8
22,10.54770705947265,3.68285987235555,135.57858376511226,34.0,6407.4,7.9,5.4,4.345103280569283,5.0,40.3
23,10.5933794403754,3.764865361091858,71.65824529168582,38.0,4263.2,7.3,5.0,4.070734696582967,4.5,34.9
24,10.625222189947985,3.4534480720060334,104.01926840283005,35.0,6420.0,6.3,5.6,4.174387269895637,4.7,37.8
25,10.556073121339951,3.7994824457366128,121.21718776124393,35.0,3000.0,7.6,5.4,4.506454213048934,4.3,54.0
26,10.715084213295617,3.5553480614894135,144.5840623508828,37.0,5833.3,5.9,5.5,3.927896354584436,3.6,13.7
27,10.879743865577717,2.4111252615692518,109.25306577480491,37.0,3404.3,4.5,5.6,4.363098624788363,2.7,24.2
28,10.616437360392252,3.2518458441057705,175.49561260968477,30.0,6300.0,7.8,6.1,4.328098292648326,4.4,14.6
29,10.560748454531664,3.6055892779261605,116.89571544058205,35.0,3240.7,7.4,5.6,3.9945242269398897,4.6,48.8
30,10.559192437620203,3.8977316753173903,203.1586503948313,31.0,6607.1,8.1,6.0,4.282206299391671,4.1,16.4
31,10.690580345938601,2.9131509847857093,62.5764993880049,41.0,1849.4,5.5,4.7,4.399375273008495,4.2,47.9
32,10.643518318994923,3.6292138977182398,102.25454545454546,36.0,1968.1,6.7,5.5,4.350277936359301,4.0,59.0
33,10.6375367244165,3.5893003243900354,86.03370058327933,39.0,4803.0,5.7,5.4,4.0809215418899605,4.6,15.3
34,10.739652239930999,3.5969419587882507,137.4269005847953,39.0,1727.3,5.2,5.0,3.885679030088544,4.0,57.7
35,10.519753688760115,3.7493374231510503,69.00380710659898,39.0,3478.3,8.8,6.1,4.192680462942962,5.5,43.7
36,10.646614665401094,3.6932367594828923,189.67838444278235,35.0,7545.5,6.3,5.5,4.23410650459726,4.2,13.4
37,10.465671468577261,4.047673042912954,247.26863753213368,32.0,5132.4,9.0,5.8,4.683056724645162,5.0,32.0
38,10.551114217794265,3.9537346231881125,161.88821314798727,36.0,6788.5,7.4,5.3,4.489759334476764,5.3,19.3
39,10.550590794594667,4.164613758068657,13.465627214741318,41.0,3603.4,6.0,4.9,3.728100167267218,4.5,35.8
40,10.419599180731357,4.103078242190855,51.12813082177603,35.0,3734.4,9.1,5.9,4.152613470346076,5.2,33.2
41,10.615947044128447,3.4955080611333966,11.544011544011545,41.0,6264.7,4.8,4.8,3.242592351485517,4.2,9.5
42,10.605098811508203,4.129971739865252,16.78883896902341,41.0,5214.3,4.8,5.0,3.563882963939251,4.1,13.9
43,10.616192232311604,3.506557897319982,16.34222542658015,45.0,5300.0,4.4,4.3,3.4372078191851885,4.4,9.2
44,10.601373487443247,4.512412113056001,22.64066352835687,41.0,4400.0,5.5,4.9,4.670021158307708,4.2,17.3
45,10.447264276441805,4.266599312709957,20.329794443189517,37.0,6968.8,9.4,5.7,3.756538102587751,6.0,13.1
46,10.460242108190519,4.009697088161816,19.18616909129243,38.0,2812.5,7.5,5.9,4.060443010546419,5.4,42.7
47,10.478132689015073,3.910025002765473,23.157000212449546,40.0,1562.5,7.1,5.8,3.7954891891721947,6.0,61.6
48,10.56048928645972,5.236908738419393,30.54120817426454,40.0,4037.0,6.1,5.2,4.069026754237811,4.6,36.3
49,10.498470484308841,4.503537540444279,32.304038004750595,41.0,4954.5,7.2,5.4,3.7773481021015445,5.4,26.5
50,10.409099609249232,4.33187685098841,55.83756345177665,33.0,2520.8,10.4,5.9,4.330733340286331,5.3,44.6
51,10.571316925111784,4.35115670073802,25.746903084770462,40.0,6382.4,6.1,4.8,3.784189633918261,3.6,0.7
52,10.480943258599881,4.2028106704380805,49.70891177787729,39.0,4750.0,8.6,4.7,4.032469158504013,5.5,36.9
53,10.618396224877586,3.985082576297651,21.428571428571427,42.0,4038.5,5.8,4.9,3.6635616461296463,5.0,30.0
54,10.306616600846745,4.453432052566217,33.038220686676745,32.0,2035.1,13.1,6.1,4.422448549172797,5.7,65.3
55,10.522180547171125,3.947424932479062,18.891374596072584,40.0,5916.7,6.5,5.2,3.730501128804756,4.5,13.5
56,10.692172159805137,3.9561648986580713,10.955710955710956,43.0,2386.4,4.6,4.6,3.6913763343125234,3.9,46.8
57,10.558673226808954,4.5671909379228754,23.785678517776667,38.0,7964.3,6.0,4.6,3.3638415951183864,4.1,5.9
58,10.62667885444445,4.067437109302176,22.251891410769915,42.0,4037.0,5.4,4.7,3.9473901492654373,4.7,25.8
59,10.376611309118108,4.391403796486478,75.69459636840955,31.0,2531.3,14.9,4.8,4.11414718951828,4.7,70.5
60,10.349774655164548,4.303233755692661,323.1472569778633,32.0,6690.5,9.0,5.3,4.576770711466393,4.4,17.7
61,10.452475637396468,4.733985072381288,228.77751063436287,33.0,5283.3,10.3,5.9,4.345103280569283,5.7,31.6
62,10.597134608137724,5.0222633320913745,162.42038216560508,34.0,7676.5,7.8,5.2,4.470495282661489,5.9,9.6
63,10.341419850781794,4.518158808998462,219.98123827392118,32.0,5847.8,11.4,6.0,4.490881039585964,5.4,26.6
